iso3_code,fao_name,sau_name
ARM,Armenia,NA
AFG,Afghanistan,NA
ALB,Albania,NA
DZA,Algeria,NA
ASM,American Samoa,American Samoa
AND,Andorra,NA
AGO,Angola,Angola
ATG,Antigua and Barbuda,Antigua & Barbuda
ARG,Argentina,Argentina
AUS,Australia,Australia
AUT,Austria,NA
BHS,Bahamas,Bahamas
BHR,Bahrain,Bahrain
BRB,Barbados,Barbados
NA,Belgium-Luxembourg,NA
BGD,Bangladesh,Bangladesh
BMU,Bermuda,Bermuda (UK)
BTN,Bhutan,NA
BOL,Bolivia (Plurinational State of),NA
BWA,Botswana,NA
BRA,Brazil,Brazil
ABW,Aruba,Aruba (Netherlands)
BLZ,Belize,Belize
IOT,British Indian Ocean Territory,Brit. Indian Ocean Terr. (UK)
SLB,Solomon Islands,Solomon Isl.
BRN,Brunei Darussalam,Brunei Darussalam
BGR,Bulgaria,NA
MMR,Myanmar,Myanmar
BDI,Burundi,NA
ATA,Antarctica,NA
BVT,Bouvet Island,NA
CMR,Cameroon,Cameroon
CAN,Canada,Canada
NA,Canton and Enderbury Islands,NA
CPV,Cabo Verde,Cape Verde
CYM,Cayman Islands,Cayman Isl. (UK)
CAF,Central African Republic,NA
LKA,Sri Lanka,Sri Lanka
TCD,Chad,NA
CHL,Chile,Chile
CHN,China,China
CXR,Christmas Island,Christmas Isl. (Australia)
CCK,Cocos (Keeling) Islands,Cocos (Keeling) Isl. (Australia)
COL,Colombia,Colombia
COM,Comoros,Comoros
COG,Congo,"Congo, R. of"
COK,Cook Islands,Cook Islands
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CYP,Cyprus,NA
CSK,Czechoslovakia,NA
AZE,Azerbaijan,NA
BEN,Benin,Benin
DNK,Denmark,Denmark
DNK,Denmark,Faeroe Isl. (Denmark)
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
BLR,Belarus,NA
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
NA,Ethiopia PDR,NA
EST,Estonia,Estonia
FRO,Faroe Islands,NA
FLK,Falkland Islands (Malvinas),Falkland Isl. (UK)
FJI,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,French Guiana
PYF,French Polynesia,French Polynesia
ATF,French Southern Territories,NA
DJI,Djibouti,Djibouti
GEO,Georgia,Georgia
GAB,Gabon,Gabon
GMB,Gambia,Gambia
NA,Gaza Strip,NA
NA,"Germany,New Länder",NA
NA,"Germany, Fed. Rep. of",NA
DEU,Germany,Germany
BIH,Bosnia and Herzegovina,NA
GHA,Ghana,Ghana
GIB,Gibraltar,NA
KIR,Kiribati,Kiribati
GRC,Greece,Greece
GRL,Greenland,Greenland
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe  (France)
GUM,Guam,Guam (USA)
GTM,Guatemala,Guatemala
GIN,Guinea,Guinea
GUY,Guyana,Guyana
HMD,Heard Island and McDonald Islands,NA
HTI,Haiti,Haiti
VAT,Holy See,NA
HND,Honduras,Honduras
HKG,"China, Hong Kong SAR",Hong Kong
HUN,Hungary,NA
HRV,Croatia,NA
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran (Islamic Republic of),Iran
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
ISR,Israel,Israel
