identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
10183,Adriatic sturgeon,Acipenser naccarii,PISCES,"Sturgeons, paddlefishes",21
18786,Twobar seabream,Acanthopagrus bifasciatus,PISCES,Miscellaneous coastal fishes,33
10338,Bowfin,Amia calva,PISCES,Miscellaneous freshwater fishes,13
10180,Green sturgeon,Acipenser medirostris,PISCES,"Sturgeons, paddlefishes",21
10184,Fringebarbel sturgeon,Acipenser nudiventris,PISCES,"Sturgeons, paddlefishes",21
10411,Speckled longfin eel,Anguilla reinhardtii,PISCES,River eels,22
2621,Noble crayfish,Astacus astacus,CRUSTACEA,Freshwater crustaceans,41
2652,Red abalone,Haliotis rufescens,MOLLUSCA,"Abalones, winkles, conchs",52
3491,Giant abalone,Haliotis gigantea,MOLLUSCA,"Abalones, winkles, conchs",52
3490,Japanese abalone,Haliotis discus,MOLLUSCA,"Abalones, winkles, conchs",52
10120,White bream,Blicca bjoerkna,PISCES,"Carps, barbels and other cyprinids",11
2653,Perlemoen abalone,Haliotis midae,MOLLUSCA,"Abalones, winkles, conchs",52
3492,Blacklip abalone,Haliotis rubra,MOLLUSCA,"Abalones, winkles, conchs",52
3400,Northern brown shrimp,Penaeus aztecus,CRUSTACEA,"Shrimps, prawns",45
2651,Abalones nei,Haliotis spp,MOLLUSCA,"Abalones, winkles, conchs",52
3662,Small sandeel,Ammodytes tobianus,PISCES,Miscellaneous coastal fishes,33
2662,Inflated ark,Scapharca broughtonii,MOLLUSCA,"Clams, cockles, arkshells",56
2301,Ruffe,Gymnocephalus cernuus,PISCES,Miscellaneous freshwater fishes,13
2120,Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",23
10276,NA,Alestes baremoze,PISCES,Miscellaneous freshwater fishes,13
2422,Green terror,Aequidens rivulatus,PISCES,Tilapias and other cichlids,12
3426,Aesop shrimp,Pandalus montagui,CRUSTACEA,"Shrimps, prawns",45
10516,African forktail snapper,Apsilus fuscus,PISCES,Miscellaneous coastal fishes,33
17386,Pipi wedge clam,Paphies australis,MOLLUSCA,"Clams, cockles, arkshells",56
10244,Hooknose,Agonus cataphractus,PISCES,Miscellaneous coastal fishes,33
12481,Brown moray,Gymnothorax unicolor,PISCES,Miscellaneous coastal fishes,33
2750,American alligator,Alligator mississippiensis,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
2046,Angelshark,Squatina squatina,PISCES,"Sharks, rays, chimaeras",38
2344,Freshwater drum,Aplodinotus grunniens,PISCES,Miscellaneous freshwater fishes,13
10324,Spotted sardinella,Amblygaster sirm,PISCES,"Herrings, sardines, anchovies",35
10634,Mediterranean sand smelt,Atherina hepsetus,PISCES,Miscellaneous pelagic fishes,37
10125,Kinneret bleak,Acanthobrama terraesanctae,PISCES,"Carps, barbels and other cyprinids",11
18636,Glassfishes,Ambassidae,PISCES,Miscellaneous coastal fishes,33
18543,Babberlocks,Alaria esculenta,PLANTAE AQUATICAE,Brown seaweeds,91
18787,Mountain mullet,Agonostomus monticola,PISCES,Miscellaneous coastal fishes,33
10316,Rock bass,Ambloplites rupestris,PISCES,Miscellaneous freshwater fishes,13
3428,Akiami paste shrimp,Acetes japonicus,CRUSTACEA,"Shrimps, prawns",45
3121,Alexandria pompano,Alectis alexandrinus,PISCES,Miscellaneous pelagic fishes,37
2496,Albacore,Thunnus alalunga,PISCES,"Tunas, bonitos, billfishes",36
2923,Baird's slickhead,Alepocephalus bairdii,PISCES,Miscellaneous demersal fishes,34
2081,Alewife,Alosa pseudoharengus,PISCES,Shads,24
2248,Alfonsinos nei,Beryx spp,PISCES,Miscellaneous demersal fishes,34
2111,Slickheads nei,Alepocephalus spp,PISCES,Miscellaneous demersal fishes,34
15781,Longspine burrfish,Tragulichthys jaculiferus,PISCES,Miscellaneous coastal fishes,33
3017,Alaska pollock(=Walleye poll.),Theragra chalcogramma,PISCES,"Cods, hakes, haddocks",32
2254,Warty dory,Allocyttus verrucosus,PISCES,Miscellaneous demersal fishes,34
2543,Alaska plaice,Pleuronectes quadrituberculat.,PISCES,"Flounders, halibuts, soles",31
2155,Bleak,Alburnus alburnus,PISCES,"Carps, barbels and other cyprinids",11
2008,Thresher,Alopias vulpinus,PISCES,"Sharks, rays, chimaeras",38
10272,Long snouted lancetfish,Alepisaurus ferox,PISCES,Miscellaneous coastal fishes,33
3119,Greater amberjack,Seriola dumerili,PISCES,Miscellaneous pelagic fishes,37
2321,Japanese amberjack,Seriola quinqueradiata,PISCES,Miscellaneous pelagic fishes,37
2576,Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,47
2320,Amberjacks nei,Seriola spp,PISCES,Miscellaneous pelagic fishes,37
2916,Argentine anchovy,Engraulis anchoita,PISCES,"Herrings, sardines, anchovies",35
2919,Southern African anchovy,Engraulis capensis,PISCES,"Herrings, sardines, anchovies",35
2106,European anchovy,Engraulis encrasicolus,PISCES,"Herrings, sardines, anchovies",35
2570,Anglerfishes nei,Lophiidae,PISCES,Miscellaneous demersal fishes,34
3380,American angler,Lophius americanus,PISCES,Miscellaneous demersal fishes,34
2450,Mackerel icefish,Champsocephalus gunnari,PISCES,Miscellaneous demersal fishes,34
2571,Blackbellied angler,Lophius budegassa,PISCES,Miscellaneous demersal fishes,34
3176,Annular seabream,Diplodus annularis,PISCES,Miscellaneous coastal fishes,33
2922,Atlantic sabretooth anchovy,Lycengraulis grossidens,PISCES,Shads,24
3244,Antarctic silverfish,Pleuragramma antarcticum,PISCES,Miscellaneous coastal fishes,33
2216,Blue antimora,Antimora rostrata,PISCES,"Cods, hakes, haddocks",32
2426,Angelfishes nei,Pomacanthidae,PISCES,Miscellaneous coastal fishes,33
2105,"Anchovies, etc. nei",Engraulidae,PISCES,"Herrings, sardines, anchovies",35
11956,Painted eel,Echelus myrus,PISCES,Miscellaneous coastal fishes,33
2879,Siberian sturgeon,Acipenser baerii,PISCES,"Sturgeons, paddlefishes",21
2071,Starry sturgeon,Acipenser stellatus,PISCES,"Sturgeons, paddlefishes",21
2877,Danube sturgeon(=Osetr),Acipenser gueldenstaedtii,PISCES,"Sturgeons, paddlefishes",21
